"filename", "language", "Vue", "JavaScript", "XML", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\project\stepin-template-main\src\packages\formEditor\index.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 6, 1, 22
"c:\project\stepin-template-main\src\packages\formEditor\locale\en.ts", "TypeScript", 0, 0, 0, 289, 0, 0, 0, 0, 1, 290
"c:\project\stepin-template-main\src\packages\formEditor\locale\index.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"c:\project\stepin-template-main\src\packages\formEditor\locale\zh-cn.ts", "TypeScript", 0, 0, 0, 289, 0, 0, 0, 0, 1, 290
"c:\project\stepin-template-main\src\packages\formEditor\node.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 3, 10
"c:\project\stepin-template-main\src\packages\formEditor\preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 155, 0, 0, 7, 1, 163
"c:\project\stepin-template-main\src\packages\formEditor\style\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\project\stepin-template-main\src\packages\formEditor\testData.ts", "TypeScript", 0, 0, 0, 1117, 0, 0, 0, 864, 10, 1991
"c:\project\stepin-template-main\src\packages\formitem.ts", "TypeScript", 0, 0, 0, 220, 0, 0, 0, 5, 6, 231
"c:\project\stepin-template-main\src\packages\hooks\index.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 1, 0, 21
"c:\project\stepin-template-main\src\packages\hooks\use-css\index.ts", "TypeScript", 0, 0, 0, 172, 0, 0, 0, 0, 1, 173
"c:\project\stepin-template-main\src\packages\hooks\use-fetch\index.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 2, 1, 33
"c:\project\stepin-template-main\src\packages\hooks\use-history\index.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 8, 1, 88
"c:\project\stepin-template-main\src\packages\hooks\use-i18n\index.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 9, 2, 27
"c:\project\stepin-template-main\src\packages\hooks\use-logic\index.ts", "TypeScript", 0, 0, 0, 333, 0, 0, 0, 17, 1, 351
"c:\project\stepin-template-main\src\packages\hooks\use-namespace\index.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"c:\project\stepin-template-main\src\packages\hooks\use-props\index.ts", "TypeScript", 0, 0, 0, 385, 0, 0, 0, 170, 5, 560
"c:\project\stepin-template-main\src\packages\hooks\use-target\index.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 5, 42
"c:\project\stepin-template-main\src\packages\icon\__index.vue", "Vue", 28, 0, 0, 0, 0, 0, 0, 4, 3, 35
"c:\project\stepin-template-main\src\packages\icon\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\project\stepin-template-main\src\packages\icon\index.vue", "Vue", 44, 0, 0, 0, 0, 0, 0, 5, 3, 52
"c:\project\stepin-template-main\src\packages\icon\svg\ID.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\project\stepin-template-main\src\packages\icon\svg\PC.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\project\stepin-template-main\src\packages\icon\svg\Rank.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
